"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-222.44,15,6
"1","core_measurement","cld","absolute","mean","lin",-207.7,15,4
"12","core_measurement","tmn","absolute","mean","quad",-165.37,4,0
"4","core_measurement","tmn","absolute","mean","lin",-142.97,15,0
"11","core_measurement","pre","absolute","mean","quad",-115.27,11,8
"16","core_measurement","wet","absolute","mean","quad",-91.65,15,5
"10","core_measurement","pet","absolute","mean","quad",-88.96,15,15
"2","core_measurement","pet","absolute","mean","lin",-82.56,15,13
"3","core_measurement","pre","absolute","mean","lin",-74.1,11,7
"6","core_measurement","tmx","absolute","mean","lin",-69.33,15,10
"14","core_measurement","tmx","absolute","mean","quad",-67.86,15,10
"8","core_measurement","wet","absolute","mean","lin",-65.21,15,15
"13","core_measurement","tmp","absolute","mean","quad",-59.19,8,2
"15","core_measurement","vap","absolute","mean","quad",-57.7,3,3
"5","core_measurement","tmp","absolute","mean","lin",-54.34,9,2
"7","core_measurement","vap","absolute","mean","lin",-30.58,11,11
