"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"10","core_measurement","cld","absolute","mean","quad",-87.03,11,11
"12","core_measurement","pet","absolute","mean","quad",-85.05,15,7
"3","core_measurement","pet","absolute","mean","lin",-76.45,15,7
"18","core_measurement","wet","absolute","mean","quad",-67.29,2,1
"16","core_measurement","tmx","absolute","mean","quad",-66.41,15,10
"7","core_measurement","tmx","absolute","mean","lin",-60.39,15,10
"1","core_measurement","cld","absolute","mean","lin",-55.74,13,10
"11","core_measurement","dtr","absolute","mean","quad",-54.25,15,9
"2","core_measurement","dtr","absolute","mean","lin",-52.37,15,9
"9","core_measurement","wet","absolute","mean","lin",-51.23,2,0
"13","core_measurement","pre","absolute","mean","quad",-43.39,2,0
"4","core_measurement","pre","absolute","mean","lin",-42.27,2,0
"15","core_measurement","tmp","absolute","mean","quad",-41.74,15,10
"17","core_measurement","vap","absolute","mean","quad",-39.27,8,8
"6","core_measurement","tmp","absolute","mean","lin",-36.03,15,10
"14","core_measurement","tmn","absolute","mean","quad",-22.52,5,4
"5","core_measurement","tmn","absolute","mean","lin",-8.95,7,7
"8","core_measurement","vap","absolute","mean","lin",-5.08,9,8
