"site","coreID","core_measurement","Year","species_code","genus","species","treeID","canopy_position","tree_status","dbh","agb","agb_inc","BAI","Date","CO2_ppm","residuals","pre","pre^2","pet","pet^2"
"LillyDickey","LillyDickey.LDS01A",0.575,1913,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.26479782931466,0.00717494411593924,0.000304386282450133,1.33740187668226,"15/06/1913",300.1743,-0.849120554095598,51.1000022888184,2611.21023391725,2.92727277495644,8.56892589900119
"LillyDickey","LillyDickey.LDS01A",0.733,1914,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.39558358449804,0.00752070552615761,0.000345761410218371,1.50589813394512,"15/06/1914",300.5865,-0.708853510496997,48,2304,2.88181826743213,8.3048765265055
"LillyDickey","LillyDickey.LDS01A",1.479,1915,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.68777284021482,0.00832686399658664,0.000806158470429026,3.46140261325644,"15/06/1915",301.0586,1.21732271766995,82.9000015258789,6872.41025299072,2.52727278254249,6.38710771738005
"LillyDickey","LillyDickey.LDS01A",1.536,1916,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.98558329395242,0.00919664425424931,0.000869780257662671,3.66599460502796,"15/06/1916",301.5742,1.38986404080332,156.699996948242,24554.889043579,2.70909094268625,7.3391737357447
"LillyDickey","LillyDickey.LDS01A",1.543,1917,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.27024355819984,0.0100736701816611,0.000877025927411786,3.63434201084017,"15/06/1917",302.1061,1.32140313220044,147.100006103516,21638.4117956544,2.57272730632262,6.61892579269803
"LillyDickey","LillyDickey.LDS01A",1.141,1918,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.47348351435532,0.0107272850343572,0.000653614852696062,2.67270551733703,"15/06/1918",302.6124,0.316004417421469,80.2000045776367,6432.04073425295,2.80909094485369,7.89099193645902
"LillyDickey","LillyDickey.LDS01A",0.793,1919,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.6099818194666,0.0111791471700368,0.000451862135679609,1.83144175276074,"15/06/1919",303.0476,-0.578110856374437,95.3000030517578,9082.09058166505,2.90000004118139,8.41000023885207
"LillyDickey","LillyDickey.LDS01A",1.239,1920,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.83217271439128,0.0119369182446102,0.000757771074573428,3.04380109879372,"15/06/1920",303.3881,0.570422941639375,73.5,5402.25,2.58181829886003,6.66578572832849
"LillyDickey","LillyDickey.LDS01A",0.6,1921,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.95436143173074,0.0123654173007988,0.000428499056188575,1.70691666168847,"15/06/1921",303.6591,-0.842740631436025,89.4000015258789,7992.36027282715,3.03636368296363,9.21950441522046
"LillyDickey","LillyDickey.LDS01A",0.705,1922,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.09069917598731,0.0128534401757396,0.000488022874940848,1.93225451440176,"15/06/1922",303.8949,-0.707092861780743,40.1000022888184,1608.01018356324,2.92727280746807,8.56892608934197
"LillyDickey","LillyDickey.LDS01A",0.524,1923,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.21226092895814,0.0132974098958447,0.000443969720105096,1.74746372284181,"15/06/1923",304.1296,-0.995341944248961,92.5999984741211,8574.75971740723,2.85454548488964,8.14842992530381
