"site","coreID","core_measurement","Year","species_code","genus","species","treeID","canopy_position","tree_status","dbh","agb","agb_inc","BAI","Date","CO2","residuals","pre","pre^2","pet","pet^2"
"NewMexico","NewMexico.lts331a",1.65,1903,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.468,0.1006229,0.003207086,10.23849,"15/06/1903",296.652,2.78724411357379,36.8777783976661,1359.97053954737,5.70000012715657,32.490001449585
"NewMexico","NewMexico.lts331a",0.36,1904,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.532,0.1013343,0.0007114036,2.261947,"15/06/1904",297.0012,-5.85020921206856,19.5111112967134,380.683464032736,5.76666673024495,33.254445177714
"NewMexico","NewMexico.lts331a",1.25,1905,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.76,0.1038936,0.002559291,8.110474,"15/06/1905",297.4366,-0.656369731273369,38.6555560694801,1494.25201504072,5.93333339691162,35.2044451989068
"NewMexico","NewMexico.lts331a",1.68,1906,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.025,0.1069173,0.003023742,9.529256,"15/06/1906",297.8837,0.123406750551926,41.1444456312391,1692.86540630199,5.93333339691162,35.2044451989068
"NewMexico","NewMexico.lts331a",2.21,1907,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.389,0.1111573,0.004240039,13.26906,"15/06/1907",298.3233,3.25216180933127,36.6333338949416,1342.00115225827,5.600000222524,31.3600024922689
"NewMexico","NewMexico.lts331a",2.33,1908,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.792,0.1159695,0.004812183,14.93352,"15/06/1908",298.7272,4.34733040180885,33.7111120224,1136.4390737868,5.80000019073486,33.6400022125244
"NewMexico","NewMexico.lts331a",1.51,1909,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.034,0.1189191,0.002949586,9.090114,"15/06/1909",299.0624,-2.0094904861477,23.3000001907349,542.890008888245,6.13333336512248,37.6177781677246
"NewMexico","NewMexico.lts331a",1.46,1910,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.244,0.1215153,0.002596151,7.962665,"15/06/1910",299.3141,-3.58113880883764,24.2666669421726,588.871124482332,6.43333339691162,41.3877785958184
"NewMexico","NewMexico.lts331a",2.31,1911,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.59,0.1258672,0.004351932,13.27053,"15/06/1911",299.5416,1.36334367709684,39.7666680018108,1581.38788396624,5.90000009536743,34.8100011253357
"NewMexico","NewMexico.lts331a",1.46,1912,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.82,0.1288116,0.002944372,8.9255,"15/06/1912",299.82,-3.2551792539769,36.6444457901849,1342.8154072698,5.76666673024495,33.254445177714
"NewMexico","NewMexico.lts331a",1.54,1913,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.083,0.132229,0.003417385,10.30795,"15/06/1913",300.1743,-2.05038952430153,27.6555562549168,764.829791768866,6.03333330154419,36.4011107275221
"NewMexico","NewMexico.lts331a",2.64,1914,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.519,0.1380136,0.005784613,17.32782,"15/06/1914",300.5865,4.89007003338839,42.211111969418,1781.77797369475,5.46666669845581,29.8844447920057
"NewMexico","NewMexico.lts331a",1.87,1915,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.822,0.1421216,0.004108026,12.21791,"15/06/1915",301.0586,-0.202292922030601,38.2888896531529,1466.03907087132,5.69999996821086,32.4899996376038
"NewMexico","NewMexico.lts331a",2.89,1916,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.235,0.1478377,0.005716076,16.8857,"15/06/1916",301.5742,4.5750276237322,33.455556233724,1119.27424290787,6.30000019073486,39.6900024032593
"NewMexico","NewMexico.lts331a",1.06,1917,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.412,0.1503288,0.002491087,7.318748,"15/06/1917",302.1061,-4.79883681318331,21.0888889829318,444.741238534421,5.90000009536743,34.8100011253357
"NewMexico","NewMexico.lts331a",1.33,1918,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.678,0.1541192,0.003790453,11.09135,"15/06/1918",302.6124,-0.761057676733815,31.0000002119276,961.000013139513,6.16666682561238,38.0277797381083
"NewMexico","NewMexico.lts331a",2.19,1919,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.073,0.1598519,0.005732645,16.67529,"15/06/1919",303.0476,5.1462077028485,55.0777783658769,3033.56166972066,5.63333336512248,31.7344448026021
"NewMexico","NewMexico.lts331a",1.54,1920,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.361,0.1641102,0.00425833,12.31268,"15/06/1920",303.3881,1.14934517089211,33.4333341386583,1117.78783162718,5.96666669845581,35.6011114904616
"NewMexico","NewMexico.lts331a",2.25,1921,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.796,0.1706682,0.006557972,18.84429,"15/06/1921",303.6591,8.07238611746528,46.5333336724175,2165.35114266855,5.5,30.25
"NewMexico","NewMexico.lts331a",0.28,1922,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.882,0.1719827,0.001314536,3.760728,"15/06/1922",303.8949,-6.61099873675278,20.6333340754112,425.734475067524,5.93333339691162,35.2044451989068
"NewMexico","NewMexico.lts331a",0.67,1923,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.042,0.1744442,0.002461512,7.027617,"15/06/1923",304.1296,-2.95151021240996,29.022222465939,842.289396862455,5.96666669845581,35.6011114904616
"NewMexico","NewMexico.lts331a",0.86,1924,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.234,0.1774253,0.002981097,8.486221,"15/06/1924",304.3854,-1.12282630881601,34.8000008000268,1211.04005568187,6.10000006357829,37.2100007756551
