site code,site name,latitude,longitude,elevation (m.a.s.l.),cores within ForestGEO plot?,canopy positions ,tree statuses,date range,dormant season,months in climwin
BCI,Barro Colorado Island,9.1543,-79.8461,120-160,no,canopy,"live, dead",1931-2014,Nov-Apr,pOct-cDec
HKK,Huai Kha Khaeng,15.6324,99.217,549-638,no,all,live,1903-2011,Nov-Apr,pOct-cDec
LT,Little Tesuque,35.738376,-105.838154,,n.a.,all,live,1903-2018,,pMay-cAug
CB,Utah Forest Dynamics Plot,37.6615,-112.8525,3020-3169,yes,,live,1903-2007,,pMay-cAug
SCBI,Smithsonian Conservation Biology Institute,38.8935,-78.1454,273-338,yes,all,"live, dead",1903-2017,Oct-Apr,pMay-cAug
LDW,Lilly Dickey Woods,39.2359,-86.2181,230-303,,canopy,"live, dead",1903-2019,,pMay-cAug
HF,Harvard Forest,42.5388,-72.1755,340-368,yes,all,"live, dead",1903-2014,,pMay-cAug
NE,Niobrara/Halsey,42.78,-100.021,644-702,some,canopy,live ,,Oct-Apr,pMay-cAug
ZOF,$\v{Z}$of$\'{i}$n Forest Dynamics Plot,48.6638,14.7073,736-829,some,all,"live, dead",1903-2013,Oct-Mar,pMay-cAug
SC,Scotty Creek,61.3,-121.3,258-274,no,all,"live, dead",1903-2013,,pMay-cAug
