site,species code,n trees all,n cores all,n trees dbh,n cores dbh,dbh range sampled,dbh range reconstructed*,date range
BCNM,JACO,12,18,11,17,30.2-63.5,2.6-56.4,1931-2014
BCNM,TEPA,18,29,17,26,22.1-59.5,2.7-49.4,1931-2014
BCNM,TRTU,23,37,20,31,20.7-43.6,4.8-41.5,1931-2014
CB,ABBI,22,41,20,39,13.9-54.2,0-50.4,1903-2019
CB,PIEN,14,23,12,20,14-54.9,2.2-43.4,1903-2019
CB,PIFL,13,21,12,20,17.6-64.1,4.5-58.5,1903-2018
CB,PILO,17,25,7,11,45.8-63.6,35.4-57.5,1903-2019
CB,PIPU,16,29,15,28,22.4-50.8,8.6-50.5,1903-2019
CB,POTR,17,27,17,27,23.6-47.6,7.7-44.5,1903-2019
CB,PSME,11,21,11,21,10.6-64.2,2.6-63.3,1903-2019
HF,ACRU,18,59,18,59,10.1-22.1,0.9-20.4,1903-2013
HF,BEAL,13,44,13,44,10.2-37.9,1.6-20.5,1904-2013
HF,QURU,74,180,73,177,19.5-53,1.1-48.3,1903-2014
HF,TSCA,32,83,32,83,10.6-37,0.6-33.5,1923-2014
HKK,AFXY,39,127,39,127,20.1-98.7,0.1-81.4,1903-2011
HKK,CHTA,28,70,28,70,16-64.6,0.2-59.5,1904-2010
HKK,MEAZ,46,130,46,130,25.6-98.1,3.8-80.3,1914-2011
HKK,TOCI,45,143,45,143,16.6-116.4,1.7-80.5,1903-2011
LDW,ACSA,35,66,34,64,9-64.6,0-52.4,1903-2019
LDW,CAOV,9,18,8,16,unknown,0.6-37.4,1903-2013
LDW,LITU,15,28,14,26,unknown,1.2-69.4,1903-2019
LDW,QUAL,10,20,0,0,NA,NA,1903-2013
LDW,QUMO,10,20,8,16,unknown,1.1-52.4,1903-2013
LDW,QUVE,9,18,0,0,NA,NA,1903-2013
LT,PIPO,10,20,10,20,23.2-52.8,14.6-48.4,1903-2018
LT,PIST3,7,14,7,14,25.7-39.8,4.2-34.4,1903-2018
NIO,BEPA,42,138,42,138,unknown,0.4-33.5,1948-2015
SCBI,CACO,15,15,15,15,10.62-38.52,1.6-32.2,1903-2015
SCBI,CAGL,39,39,36,36,10.28-52.31,1.6-49.3,1903-2015
SCBI,CAOVL,25,25,24,24,15.11-60.32,2.6-47.2,1903-2015
SCBI,CATO,15,15,14,14,12.86-35.95,3.7-28.4,1903-2015
SCBI,FAGR,76,76,76,76,10.05-41.02,0.1-41.2,1920-2009
SCBI,FRAM,66,66,63,63,6.85-94.73,0.1-84.4,1903-2016
SCBI,FRNI,12,12,12,12,11.04-39.2,0.5-27.3,1903-1996
SCBI,JUNI,30,30,29,29,20.4-76.19,4.6-59.5,1903-2010
SCBI,LITU,106,106,105,105,10-91.42,0.1-81.1,1903-2010
SCBI,PIST,36,36,36,36,13.92-50.96,0.5-44.3,1931-2010
SCBI,QUAL,66,66,66,66,11.4-76.73,0.3-70.4,1903-2009
SCBI,QUMO,67,67,67,67,10.22-84.59,0.3-69.5,1903-2017
SCBI,QURU,70,70,70,70,11.07-87.65,2.5-79.2,1903-2016
SCBI,QUVE,81,81,81,81,16.02-82.33,0.5-78.4,1903-2009
SC,PIMA,443,443,395,395,24-Jul,0-16.4,1903-2013
ZOF,ABAL,46,46,46,46,50-121,21.1-107.4,1903-2010
ZOF,FASY,1369,1369,1369,1369,unknown,0.1-115.3,1903-2013
ZOF,PIAB,644,644,642,642,unknown,0-125.4,1903-2011
